1, private, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
3834, private, wythers:dry_tropical_forest, CREATURE, friendsandfoes:mauler, 32, 1, 1
3835, private, wythers:dry_tropical_forest, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
3836, private, wythers:dry_tropical_forest, CREATURE, species:roombug, 10, 1, 3
3837, private, wythers:dry_tropical_forest, CREATURE, minecraft:sheep, 6, 2, 3
3838, private, wythers:dry_tropical_forest, CREATURE, bewitchment:snake, 6, 1, 2
3839, private, wythers:dry_tropical_forest, CREATURE, meadow:water_buffalo, 5, 2, 3
3840, private, wythers:dry_tropical_forest, AMBIENT, minecraft:bat, 10, 8, 8
3841, private, wythers:dry_tropical_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
3842, private, wythers:dry_tropical_forest, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
3843, jungle, wythers:dry_tropical_grassland, MONSTER, minecraft:spider, 80, 4, 4
3844, jungle, wythers:dry_tropical_grassland, MONSTER, minecraft:zombie, 80, 4, 4
3845, jungle, wythers:dry_tropical_grassland, MONSTER, minecraft:zombie_villager, 5, 1, 1
3846, jungle, wythers:dry_tropical_grassland, MONSTER, minecraft:skeleton, 80, 4, 4
3847, jungle, wythers:dry_tropical_grassland, MONSTER, minecraft:slime, 80, 4, 4
3848, jungle, wythers:dry_tropical_grassland, MONSTER, minecraft:enderman, 10, 1, 4
3849, jungle, wythers:dry_tropical_grassland, MONSTER, minecraft:witch, 5, 1, 1
3850, jungle, wythers:dry_tropical_grassland, MONSTER, creeperoverhaul:bamboo_creeper, 75, 2, 2
3851, jungle, wythers:dry_tropical_grassland, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
3852, jungle, wythers:dry_tropical_grassland, MONSTER, enderzoology:infested_zombie, 23, 1, 4
3853, jungle, wythers:dry_tropical_grassland, MONSTER, enderzoology:fallen_knight, 23, 4, 6
3854, jungle, wythers:dry_tropical_grassland, MONSTER, enderzoology:enderminy, 30, 4, 4
3855, jungle, wythers:dry_tropical_grassland, MONSTER, enderzoology:wither_witch, 5, 1, 1
3856, jungle, wythers:dry_tropical_grassland, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
3857, jungle, wythers:dry_tropical_grassland, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
3858, jungle, wythers:dry_tropical_grassland, MONSTER, mythicmobs:chupacabra, 20, 1, 1
3859, jungle, wythers:dry_tropical_grassland, MONSTER, elementalcreepers:cookie_creeper, 5, 1, 2
3860, jungle, wythers:dry_tropical_grassland, MONSTER, elementalcreepers:dark_creeper, 12, 1, 1
3861, jungle, wythers:dry_tropical_grassland, MONSTER, elementalcreepers:earth_creeper, 15, 1, 1
3862, jungle, wythers:dry_tropical_grassland, MONSTER, elementalcreepers:electric_creeper, 7, 1, 1
3863, jungle, wythers:dry_tropical_grassland, MONSTER, elementalcreepers:firework_creeper, 5, 1, 1
3864, jungle, wythers:dry_tropical_grassland, MONSTER, bewitchment:ghost, 20, 1, 1
3865, jungle, wythers:dry_tropical_grassland, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
3866, jungle, wythers:dry_tropical_grassland, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
3867, jungle, wythers:dry_tropical_grassland, MONSTER, elementalcreepers:illusion_creeper, 10, 1, 1
3868, jungle, wythers:dry_tropical_grassland, MONSTER, creeperoverhaul:jungle_creeper, 75, 2, 2
3869, jungle, wythers:dry_tropical_grassland, MONSTER, elementalcreepers:light_creeper, 20, 1, 1
3870, jungle, wythers:dry_tropical_grassland, MONSTER, graveyard:nightmare, 10, 1, 1
3871, jungle, wythers:dry_tropical_grassland, MONSTER, elementalcreepers:reverse_creeper, 10, 1, 1
3872, jungle, wythers:dry_tropical_grassland, MONSTER, creeperoverhaul:savannah_creeper, 75, 2, 2
3873, jungle, wythers:dry_tropical_grassland, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
3874, jungle, wythers:dry_tropical_grassland, MONSTER, weeping_angels:weeping_angel, 8, 1, 4
3875, jungle, wythers:dry_tropical_grassland, CREATURE, minecraft:chicken, 10, 4, 4
3876, jungle, wythers:dry_tropical_grassland, CREATURE, minecraft:cow, 8, 4, 4
3877, jungle, wythers:dry_tropical_grassland, CREATURE, minecraft:horse, 5, 2, 6
3878, jungle, wythers:dry_tropical_grassland, CREATURE, minecraft:donkey, 5, 1, 3
3879, jungle, wythers:dry_tropical_grassland, CREATURE, clutter:chameleon, 15, 1, 2
3880, jungle, wythers:dry_tropical_grassland, CREATURE, mythicmobs:drake, 5, 1, 4
3881, jungle, wythers:dry_tropical_grassland, CREATURE, clutter:kiwi_bird, 30, 2, 3
3882, jungle, wythers:dry_tropical_grassland, CREATURE, mythicmobs:kobold, 10, 3, 6
3883, jungle, wythers:dry_tropical_grassland, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
3884, jungle, wythers:dry_tropical_grassland, CREATURE, friendsandfoes:mauler, 32, 1, 1
3885, jungle, wythers:dry_tropical_grassland, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
3886, jungle, wythers:dry_tropical_grassland, CREATURE, species:roombug, 10, 1, 3
3887, jungle, wythers:dry_tropical_grassland, CREATURE, minecraft:sheep, 6, 2, 3
3888, jungle, wythers:dry_tropical_grassland, CREATURE, bewitchment:snake, 6, 1, 2
3889, jungle, wythers:dry_tropical_grassland, CREATURE, bewitchment:toad, 10, 1, 3
3890, jungle, wythers:dry_tropical_grassland, CREATURE, meadow:water_buffalo, 5, 2, 3
3891, jungle, wythers:dry_tropical_grassland, AMBIENT, minecraft:bat, 10, 8, 8
3892, jungle, wythers:dry_tropical_grassland, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
3893, jungle, wythers:dry_tropical_grassland, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
3894, private, terrestria:dunes, MONSTER, minecraft:spider, 80, 4, 4
3895, private, terrestria:dunes, MONSTER, minecraft:zombie, 80, 4, 4
3896, private, terrestria:dunes, MONSTER, minecraft:zombie_villager, 5, 1, 1
3897, private, terrestria:dunes, MONSTER, minecraft:skeleton, 80, 4, 4
3898, private, terrestria:dunes, MONSTER, minecraft:creeper, 80, 4, 4
3899, private, terrestria:dunes, MONSTER, minecraft:slime, 80, 4, 4
3900, private, terrestria:dunes, MONSTER, minecraft:enderman, 10, 1, 4
3901, private, terrestria:dunes, MONSTER, minecraft:witch, 5, 1, 1
3902, private, terrestria:dunes, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
3903, private, terrestria:dunes, MONSTER, enderzoology:infested_zombie, 23, 1, 4
3904, private, terrestria:dunes, MONSTER, enderzoology:fallen_knight, 23, 4, 6
3905, private, terrestria:dunes, MONSTER, enderzoology:enderminy, 30, 4, 4
3906, private, terrestria:dunes, MONSTER, enderzoology:wither_witch, 5, 1, 1
3907, private, terrestria:dunes, MONSTER, mythicmobs:chupacabra, 20, 1, 1
3908, private, terrestria:dunes, MONSTER, bewitchment:ghost, 20, 1, 1
3909, private, terrestria:dunes, MONSTER, graveyard:ghoul, 25, 2, 5
3910, private, terrestria:dunes, MONSTER, graveyard:nightmare, 10, 1, 1
3911, private, terrestria:dunes, MONSTER, graveyard:reaper, 5, 2, 3
3912, private, terrestria:dunes, MONSTER, graveyard:revenant, 25, 5, 8
3913, private, terrestria:dunes, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
3914, private, terrestria:dunes, CREATURE, minecraft:sheep, 12, 4, 4
3915, private, terrestria:dunes, CREATURE, minecraft:pig, 10, 4, 4
3916, private, terrestria:dunes, CREATURE, minecraft:chicken, 10, 4, 4
3917, private, terrestria:dunes, CREATURE, minecraft:cow, 8, 4, 4
3918, private, terrestria:dunes, CREATURE, mythicmobs:drake, 5, 1, 4
3919, private, terrestria:dunes, CREATURE, mythicmobs:kobold, 10, 3, 6
3920, private, terrestria:dunes, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
3921, private, terrestria:dunes, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
3922, private, terrestria:dunes, CREATURE, bewitchment:snake, 6, 1, 2
3923, private, terrestria:dunes, AMBIENT, minecraft:bat, 10, 8, 8
3924, private, terrestria:dunes, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
3925, private, betterend:dust_wastelands, MONSTER, minecraft:enderman, 50, 1, 2
3926, private, betterend:dust_wastelands, MONSTER, adventurez:enderwarthog, 5, 1, 1
3927, private, betterend:dust_wastelands, CREATURE, adventurez:ender_whale, 5, 1, 1
3928, private, betterend:dust_wastelands, AMBIENT, clutter:echofin, 5, 3, 7
3929, private, betterend:dust_wastelands, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
3930, private, deeperdarker:echoing_forest, MONSTER, deeperdarker:sculk_snapper, 9, 1, 2
3931, private, deeperdarker:echoing_forest, MONSTER, deeperdarker:shattered, 17, 2, 5
3932, private, deeperdarker:echoing_forest, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
3933, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:spider, 80, 4, 4
3934, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:zombie, 80, 4, 4
3935, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:zombie_villager, 5, 1, 1
3936, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:skeleton, 80, 4, 4
3937, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:slime, 80, 4, 4
3938, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:enderman, 10, 1, 4
3939, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:witch, 5, 1, 1
3940, extreme_hills, terralith:emerald_peaks, MONSTER, elementalcreepers:air_creeper, 20, 1, 1
3941, extreme_hills, terralith:emerald_peaks, MONSTER, elementalcreepers:miner_creeper, 15, 1, 2
3942, extreme_hills, terralith:emerald_peaks, MONSTER, graveyard:nightmare, 10, 1, 1
3943, extreme_hills, terralith:emerald_peaks, MONSTER, graveyard:revenant, 25, 5, 8
3944, extreme_hills, terralith:emerald_peaks, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
3945, extreme_hills, terralith:emerald_peaks, CREATURE, minecraft:sheep, 6, 2, 3
3946, extreme_hills, terralith:emerald_peaks, AMBIENT, minecraft:bat, 10, 8, 8
3947, extreme_hills, terralith:emerald_peaks, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
3948, extreme_hills, terralith:emerald_peaks, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
3949, private, betterend:empty_aurora_cave, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
3950, private, betterend:empty_end_cave, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
3951, private, betterend:empty_smaragdant_cave, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
3952, private, minecraft:end_barrens, MONSTER, minecraft:enderman, 10, 4, 4
3953, private, minecraft:end_barrens, CREATURE, adventurez:ender_whale, 5, 1, 1
3954, private, minecraft:end_barrens, AMBIENT, clutter:echofin, 5, 3, 7
3955, private, minecraft:end_barrens, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
3956, private, minecraft:end_highlands, MONSTER, minecraft:enderman, 10, 4, 4
3957, private, minecraft:end_highlands, MONSTER, adventurez:enderwarthog, 5, 1, 1
3958, private, minecraft:end_highlands, CREATURE, adventurez:ender_whale, 5, 1, 1
3959, private, minecraft:end_highlands, AMBIENT, clutter:echofin, 5, 3, 7
3960, private, minecraft:end_highlands, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
3961, private, minecraft:end_midlands, MONSTER, minecraft:enderman, 10, 4, 4
3962, private, minecraft:end_midlands, MONSTER, adventurez:enderwarthog, 5, 1, 1
3963, private, minecraft:end_midlands, CREATURE, adventurez:ender_whale, 5, 1, 1
3964, private, minecraft:end_midlands, AMBIENT, clutter:echofin, 5, 3, 7
3965, private, minecraft:end_midlands, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
3966, badlands, minecraft:eroded_badlands, MONSTER, minecraft:spider, 80, 4, 4
3967, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie, 80, 4, 4
3968, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
3969, badlands, minecraft:eroded_badlands, MONSTER, minecraft:skeleton, 80, 4, 4
3970, badlands, minecraft:eroded_badlands, MONSTER, minecraft:slime, 80, 4, 4
3971, badlands, minecraft:eroded_badlands, MONSTER, minecraft:enderman, 10, 1, 4
3972, badlands, minecraft:eroded_badlands, MONSTER, minecraft:witch, 5, 1, 1
3973, badlands, minecraft:eroded_badlands, MONSTER, creeperoverhaul:badlands_creeper, 75, 2, 2
3974, badlands, minecraft:eroded_badlands, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
3975, badlands, minecraft:eroded_badlands, MONSTER, enderzoology:infested_zombie, 23, 1, 4
3976, badlands, minecraft:eroded_badlands, MONSTER, enderzoology:fallen_knight, 23, 4, 6
3977, badlands, minecraft:eroded_badlands, MONSTER, enderzoology:enderminy, 30, 4, 4
3978, badlands, minecraft:eroded_badlands, MONSTER, enderzoology:wither_witch, 5, 1, 1
3979, badlands, minecraft:eroded_badlands, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
3980, badlands, minecraft:eroded_badlands, MONSTER, mythicmobs:chupacabra, 20, 1, 1
3981, badlands, minecraft:eroded_badlands, MONSTER, elementalcreepers:fire_creeper, 25, 1, 2
3982, badlands, minecraft:eroded_badlands, MONSTER, bewitchment:ghost, 20, 1, 1
3983, badlands, minecraft:eroded_badlands, MONSTER, species:limpet, 10, 1, 1
3984, badlands, minecraft:eroded_badlands, MONSTER, hwg:merc, 5, 1, 2
3985, badlands, minecraft:eroded_badlands, MONSTER, graveyard:nightmare, 10, 1, 1
3986, badlands, minecraft:eroded_badlands, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
3987, badlands, minecraft:eroded_badlands, MONSTER, hwg:spy, 5, 1, 2
3988, badlands, minecraft:eroded_badlands, MONSTER, weeping_angels:weeping_angel, 8, 1, 4
3989, badlands, minecraft:eroded_badlands, CREATURE, minecraft:goat, 5, 1, 3
3990, badlands, minecraft:eroded_badlands, CREATURE, minecraft:rabbit, 5, 2, 3
3991, badlands, minecraft:eroded_badlands, CREATURE, mythicmobs:drake, 5, 1, 4
3992, badlands, minecraft:eroded_badlands, CREATURE, adventurez:iguana, 10, 1, 2
3993, badlands, minecraft:eroded_badlands, CREATURE, mythicmobs:kobold, 10, 3, 6
3994, badlands, minecraft:eroded_badlands, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
3995, badlands, minecraft:eroded_badlands, CREATURE, friendsandfoes:mauler, 16, 1, 1
3996, badlands, minecraft:eroded_badlands, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
3997, badlands, minecraft:eroded_badlands, CREATURE, species:roombug, 10, 1, 3
3998, badlands, minecraft:eroded_badlands, AMBIENT, minecraft:bat, 10, 8, 8
3999, badlands, minecraft:eroded_badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
4000, badlands, minecraft:eroded_badlands, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
4001, private, nyctophobia:eroded_haunted_forest, MONSTER, minecraft:wither_skeleton, 8, 2, 3
4002, private, nyctophobia:eroded_haunted_forest, MONSTER, minecraft:skeleton, 8, 1, 2
4003, private, nyctophobia:eroded_haunted_forest, MONSTER, mythicmobs:chupacabra, 20, 1, 1
4004, private, nyctophobia:eroded_haunted_forest, MONSTER, bewitchment:ghost, 20, 1, 1
4005, private, nyctophobia:eroded_haunted_forest, MONSTER, graveyard:ghoul, 25, 2, 5
4006, private, nyctophobia:eroded_haunted_forest, MONSTER, graveyard:nightmare, 10, 1, 1
4007, private, nyctophobia:eroded_haunted_forest, MONSTER, graveyard:reaper, 5, 2, 3
4008, private, nyctophobia:eroded_haunted_forest, MONSTER, graveyard:revenant, 25, 5, 8
4009, private, nyctophobia:eroded_haunted_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
4010, private, nyctophobia:eroded_haunted_forest, MONSTER, adventurez:soul_reaper, 5, 1, 1
4011, private, nyctophobia:eroded_haunted_forest, MONSTER, bewitchment:werewolf, 20, 1, 1
4012, private, nyctophobia:eroded_haunted_forest, CREATURE, minecraft:bat, 10, 1, 1
4013, private, nyctophobia:eroded_haunted_forest, CREATURE, minecraft:cat, 5, 1, 1
4014, private, nyctophobia:eroded_haunted_forest, CREATURE, mythicmobs:drake, 5, 1, 4
4015, private, nyctophobia:eroded_haunted_forest, CREATURE, mythicmobs:kobold, 10, 3, 6
4016, private, nyctophobia:eroded_haunted_forest, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
4017, private, nyctophobia:eroded_haunted_forest, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
4018, private, nyctophobia:eroded_haunted_forest, CREATURE, bewitchment:owl, 10, 1, 2
4019, private, nyctophobia:eroded_haunted_forest, CREATURE, bewitchment:raven, 10, 1, 3
4020, private, nyctophobia:eroded_haunted_forest, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
4021, forest, wythers:eucalyptus_deanei_forest, MONSTER, minecraft:spider, 80, 4, 4
4022, forest, wythers:eucalyptus_deanei_forest, MONSTER, minecraft:zombie, 80, 4, 4
4023, forest, wythers:eucalyptus_deanei_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
4024, forest, wythers:eucalyptus_deanei_forest, MONSTER, minecraft:skeleton, 80, 4, 4
4025, forest, wythers:eucalyptus_deanei_forest, MONSTER, minecraft:creeper, 80, 4, 4
4026, forest, wythers:eucalyptus_deanei_forest, MONSTER, minecraft:slime, 80, 4, 4
4027, forest, wythers:eucalyptus_deanei_forest, MONSTER, minecraft:enderman, 10, 1, 4
4028, forest, wythers:eucalyptus_deanei_forest, MONSTER, minecraft:witch, 5, 1, 1
4029, forest, wythers:eucalyptus_deanei_forest, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
4030, forest, wythers:eucalyptus_deanei_forest, MONSTER, enderzoology:infested_zombie, 23, 1, 4
4031, forest, wythers:eucalyptus_deanei_forest, MONSTER, enderzoology:fallen_knight, 23, 4, 6
4032, forest, wythers:eucalyptus_deanei_forest, MONSTER, enderzoology:enderminy, 30, 4, 4
4033, forest, wythers:eucalyptus_deanei_forest, MONSTER, enderzoology:wither_witch, 5, 1, 1
4034, forest, wythers:eucalyptus_deanei_forest, MONSTER, mythicmobs:chupacabra, 20, 1, 1
4035, forest, wythers:eucalyptus_deanei_forest, MONSTER, elementalcreepers:cookie_creeper, 5, 1, 2
4036, forest, wythers:eucalyptus_deanei_forest, MONSTER, elementalcreepers:dark_creeper, 12, 1, 1
4037, forest, wythers:eucalyptus_deanei_forest, MONSTER, elementalcreepers:earth_creeper, 15, 1, 1
4038, forest, wythers:eucalyptus_deanei_forest, MONSTER, elementalcreepers:electric_creeper, 7, 1, 1
4039, forest, wythers:eucalyptus_deanei_forest, MONSTER, elementalcreepers:firework_creeper, 5, 1, 1
4040, forest, wythers:eucalyptus_deanei_forest, MONSTER, bewitchment:ghost, 20, 1, 1
4041, forest, wythers:eucalyptus_deanei_forest, MONSTER, graveyard:ghoul, 25, 2, 5
4042, forest, wythers:eucalyptus_deanei_forest, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
4043, forest, wythers:eucalyptus_deanei_forest, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
4044, forest, wythers:eucalyptus_deanei_forest, MONSTER, elementalcreepers:illusion_creeper, 10, 1, 1
4045, forest, wythers:eucalyptus_deanei_forest, MONSTER, elementalcreepers:light_creeper, 20, 1, 1
4046, forest, wythers:eucalyptus_deanei_forest, MONSTER, elementalcreepers:reverse_creeper, 10, 1, 1
4047, forest, wythers:eucalyptus_deanei_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
4048, forest, wythers:eucalyptus_deanei_forest, MONSTER, weeping_angels:weeping_angel, 8, 1, 4
4049, forest, wythers:eucalyptus_deanei_forest, MONSTER, bewitchment:werewolf, 20, 1, 1
4050, forest, wythers:eucalyptus_deanei_forest, CREATURE, meadow:brown_bear, 5, 2, 3
4051, forest, wythers:eucalyptus_deanei_forest, CREATURE, minecraft:cow, 6, 2, 3
4052, forest, wythers:eucalyptus_deanei_forest, CREATURE, adventurez:deer, 6, 2, 3
4053, forest, wythers:eucalyptus_deanei_forest, CREATURE, mythicmobs:drake, 5, 1, 4
4054, forest, wythers:eucalyptus_deanei_forest, CREATURE, mythicmobs:kobold, 10, 3, 6
4055, forest, wythers:eucalyptus_deanei_forest, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
4056, forest, wythers:eucalyptus_deanei_forest, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
4057, forest, wythers:eucalyptus_deanei_forest, CREATURE, bewitchment:owl, 10, 1, 2
4058, forest, wythers:eucalyptus_deanei_forest, CREATURE, bewitchment:raven, 10, 1, 3
4059, forest, wythers:eucalyptus_deanei_forest, CREATURE, meadow:wooly_cow, 10, 2, 3
4060, forest, wythers:eucalyptus_deanei_forest, AMBIENT, minecraft:bat, 10, 8, 8
4061, forest, wythers:eucalyptus_deanei_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
4062, forest, wythers:eucalyptus_deanei_forest, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
4063, jungle, wythers:eucalyptus_jungle, MONSTER, minecraft:spider, 80, 4, 4
4064, jungle, wythers:eucalyptus_jungle, MONSTER, minecraft:zombie, 80, 4, 4
4065, jungle, wythers:eucalyptus_jungle, MONSTER, minecraft:zombie_villager, 5, 1, 1
4066, jungle, wythers:eucalyptus_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
4067, jungle, wythers:eucalyptus_jungle, MONSTER, minecraft:slime, 80, 4, 4
4068, jungle, wythers:eucalyptus_jungle, MONSTER, minecraft:enderman, 10, 1, 4
4069, jungle, wythers:eucalyptus_jungle, MONSTER, minecraft:witch, 5, 1, 1
4070, jungle, wythers:eucalyptus_jungle, MONSTER, minecraft:ocelot, 5, 1, 3
4071, jungle, wythers:eucalyptus_jungle, MONSTER, creeperoverhaul:bamboo_creeper, 75, 2, 2
4072, jungle, wythers:eucalyptus_jungle, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
4073, jungle, wythers:eucalyptus_jungle, MONSTER, enderzoology:infested_zombie, 23, 1, 4
4074, jungle, wythers:eucalyptus_jungle, MONSTER, enderzoology:fallen_knight, 23, 4, 6
4075, jungle, wythers:eucalyptus_jungle, MONSTER, enderzoology:enderminy, 30, 4, 4
4076, jungle, wythers:eucalyptus_jungle, MONSTER, enderzoology:wither_witch, 5, 1, 1
4077, jungle, wythers:eucalyptus_jungle, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
4078, jungle, wythers:eucalyptus_jungle, MONSTER, mythicmobs:chupacabra, 20, 1, 1
4079, jungle, wythers:eucalyptus_jungle, MONSTER, elementalcreepers:cookie_creeper, 5, 1, 2
4080, jungle, wythers:eucalyptus_jungle, MONSTER, elementalcreepers:dark_creeper, 12, 1, 1
4081, jungle, wythers:eucalyptus_jungle, MONSTER, elementalcreepers:earth_creeper, 15, 1, 1
4082, jungle, wythers:eucalyptus_jungle, MONSTER, elementalcreepers:electric_creeper, 7, 1, 1
4083, jungle, wythers:eucalyptus_jungle, MONSTER, elementalcreepers:firework_creeper, 5, 1, 1
4084, jungle, wythers:eucalyptus_jungle, MONSTER, bewitchment:ghost, 20, 1, 1
4085, jungle, wythers:eucalyptus_jungle, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
4086, jungle, wythers:eucalyptus_jungle, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
4087, jungle, wythers:eucalyptus_jungle, MONSTER, elementalcreepers:illusion_creeper, 10, 1, 1
4088, jungle, wythers:eucalyptus_jungle, MONSTER, creeperoverhaul:jungle_creeper, 75, 2, 2
4089, jungle, wythers:eucalyptus_jungle, MONSTER, elementalcreepers:light_creeper, 20, 1, 1
4090, jungle, wythers:eucalyptus_jungle, MONSTER, elementalcreepers:reverse_creeper, 10, 1, 1
4091, jungle, wythers:eucalyptus_jungle, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
4092, jungle, wythers:eucalyptus_jungle, MONSTER, weeping_angels:weeping_angel, 8, 1, 4
4093, jungle, wythers:eucalyptus_jungle, CREATURE, minecraft:sheep, 12, 4, 4
4094, jungle, wythers:eucalyptus_jungle, CREATURE, minecraft:pig, 10, 4, 4
4095, jungle, wythers:eucalyptus_jungle, CREATURE, minecraft:chicken, 10, 4, 4
4096, jungle, wythers:eucalyptus_jungle, CREATURE, minecraft:cow, 8, 4, 4
4097, jungle, wythers:eucalyptus_jungle, CREATURE, minecraft:chicken, 10, 4, 4
4098, jungle, wythers:eucalyptus_jungle, CREATURE, minecraft:parrot, 40, 1, 2
4099, jungle, wythers:eucalyptus_jungle, CREATURE, minecraft:panda, 5, 1, 2
4100, jungle, wythers:eucalyptus_jungle, CREATURE, clutter:chameleon, 15, 1, 2
4101, jungle, wythers:eucalyptus_jungle, CREATURE, mythicmobs:drake, 5, 1, 4
4102, jungle, wythers:eucalyptus_jungle, CREATURE, clutter:kiwi_bird, 30, 2, 3
4103, jungle, wythers:eucalyptus_jungle, CREATURE, mythicmobs:kobold, 10, 3, 6
4104, jungle, wythers:eucalyptus_jungle, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
4105, jungle, wythers:eucalyptus_jungle, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
4106, jungle, wythers:eucalyptus_jungle, CREATURE, bewitchment:toad, 10, 1, 3
4107, jungle, wythers:eucalyptus_jungle, AMBIENT, minecraft:bat, 10, 8, 8
4108, jungle, wythers:eucalyptus_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
4109, jungle, wythers:eucalyptus_jungle, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
4110, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, minecraft:spider, 80, 4, 4
4111, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, minecraft:zombie, 80, 4, 4
4112, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, minecraft:zombie_villager, 5, 1, 1
4113, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, minecraft:skeleton, 80, 4, 4
4114, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, minecraft:slime, 80, 4, 4
4115, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, minecraft:enderman, 10, 1, 4
4116, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, minecraft:witch, 5, 1, 1
4117, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, minecraft:ocelot, 5, 1, 3
4118, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, creeperoverhaul:bamboo_creeper, 75, 2, 2
4119, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
4120, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, enderzoology:infested_zombie, 23, 1, 4
4121, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, enderzoology:fallen_knight, 23, 4, 6
4122, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, enderzoology:enderminy, 30, 4, 4
4123, jungle, wythers:eucalyptus_jungle_canyon, MONSTER, enderzoology:wither_witch, 5, 1, 1
